Fri Sep 22 17:58:09 2023    cProfile.prof

         154432090 function calls (151731458 primitive calls) in 116.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31043    0.018    0.000    0.028    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\assumptions.py:439(generator)
    20000    0.027    0.000    0.027    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
    63180    0.026    0.000    0.026    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1285(__bool__)
    93685    0.026    0.000    0.026    0.000 {method 'insert' of 'list' objects}
   152000    0.025    0.000    0.025    0.000 {method 'keys' of 'dict' objects}
    32000    0.017    0.000    0.024    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:125(_realType)
    95140    0.023    0.000    0.023    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:686(func)
      412    0.001    0.000    0.023    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\expr.py:217(__rsub__)
    44023    0.022    0.000    0.022    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
    64000    0.022    0.000    0.022    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\logic\boolalg.py:435(<lambda>)
   112000    0.022    0.000    0.022    0.000 {method 'pop' of 'dict' objects}
     3090    0.021    0.000    0.021    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    24002    0.019    0.000    0.019    0.000 {built-in method numpy.seterrobj}
     8000    0.005    0.000    0.018    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:550(swapaxes)
    32000    0.014    0.000    0.018    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\numeric.py:1816(isscalar)
    32000    0.018    0.000    0.018    0.000 {method 'endswith' of 'str' objects}
    80000    0.017    0.000    0.017    0.000 {built-in method builtins.iter}
    32000    0.012    0.000    0.017    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:112(isComplexType)
     8000    0.017    0.000    0.017    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:45(InFoV)
    80004    0.016    0.000    0.016    0.000 {built-in method builtins.issubclass}
    12044    0.014    0.000    0.014    0.000 {method 'fill' of 'numpy.ndarray' objects}
    61522    0.014    0.000    0.014    0.000 {built-in method from_iterable}
    31043    0.013    0.000    0.013    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1282(_eval_is_zero)
    48004    0.012    0.000    0.012    0.000 {built-in method numpy.geterrobj}
    63288    0.012    0.000    0.012    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\logic\boolalg.py:402(__bool__)
    62126    0.012    0.000    0.012    0.000 {method 'extend' of 'list' objects}
    31043    0.011    0.000    0.011    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\facts.py:479(__init__)
    16000    0.011    0.000    0.011    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:102(get_linalg_error_extobj)
    16000    0.011    0.000    0.011    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:194(_assert_stacked_2d)
     8000    0.010    0.000    0.010    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:146(CostPerRobot)
    32000    0.010    0.000    0.010    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:692(mpf_sign)
    36000    0.008    0.000    0.008    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    31063    0.008    0.000    0.008    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:543(<listcomp>)
    32000    0.007    0.000    0.007    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\lib\type_check.py:206(_is_type_dispatcher)
    31063    0.007    0.000    0.007    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:641(<listcomp>)
    12001    0.007    0.000    0.007    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\_ufunc_config.py:429(__init__)
    36000    0.007    0.000    0.007    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2333(_all_dispatcher)
    31063    0.007    0.000    0.007    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:2642(__bool__)
    24000    0.006    0.000    0.006    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\multiarray.py:706(dot)
     8000    0.005    0.000    0.005    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
    20005    0.005    0.000    0.005    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\lib\twodim_base.py:210(_diag_dispatcher)
      712    0.001    0.000    0.004    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1375(__abs__)
    16000    0.004    0.000    0.004    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:1479(_svd_dispatcher)
    20000    0.004    0.000    0.004    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:1498(_diagonal_dispatcher)
     3090    0.004    0.000    0.004    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:53(SwitchTarget)
    12000    0.003    0.000    0.003    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\numeric.py:2117(_allclose_dispatcher)
    12000    0.002    0.000    0.002    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\multiarray.py:634(result_type)
    12000    0.002    0.000    0.002    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\numeric.py:2193(_isclose_dispatcher)
     4000    0.002    0.000    0.002    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:211(_is_empty_2d)
     4000    0.002    0.000    0.002    0.000 {method 'conjugate' of 'numpy.ndarray' objects}
     8000    0.002    0.000    0.002    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:546(_swapaxes_dispatcher)
     4000    0.001    0.000    0.001    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:1912(_pinv_dispatcher)
     4000    0.001    0.000    0.001    0.000 {method 'clear' of 'list' objects}
     4001    0.001    0.000    0.001    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2584(_amax_dispatcher)
     4021    0.001    0.000    0.001    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2100(_sum_dispatcher)
        1    0.000    0.000    0.001    0.001 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:158(ToFile)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:1473(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:516(array2string)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:461(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:478(_array2string)
      712    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:677(mpf_abs)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       40    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:2243(__ne__)
       40    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:2236(__eq__)
       20    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\numeric.py:2084(identity)
      712    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\logic\boolalg.py:334(__bool__)
       20    0.000    0.000    0.000    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:152(CostPerRun)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:409(_get_format_function)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:709(_formatArray)
     21/1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:718(recurser)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:366(<lambda>)
       40    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1862(__eq__)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:836(__init__)
        2    0.000    0.000    0.000    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:75(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:863(fillFormat)
       20    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\lib\twodim_base.py:152(eye)
       20    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:947(__call__)
       61    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:827(as_coeff_Mul)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
       21    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:918(<genexpr>)
       21    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:913(<genexpr>)
       20    0.000    0.000    0.000    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:142(Reset)
       20    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:695(_extendLine)
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\_bootlocale.py:11(getpreferredencoding)
        7    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\encodings\cp1252.py:18(encode)
        1    0.000    0.000    0.000    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:36(__init__)
        1    0.000    0.000    0.000    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:136(__init__)
        1    0.000    0.000    0.000    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:155(CostTotal)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
       21    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:922(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:60(_make_options_dict)
       21    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:923(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2714(amin)
       20    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:675(<genexpr>)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       20    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:677(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:358(_get_formatdict)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:65(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\arrayprint.py:827(_none_or_positive_arg)
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2709(_amin_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


