Fri Sep 22 17:58:09 2023    cProfile.prof

         154432090 function calls (151731458 primitive calls) in 116.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   256320    1.971    0.000    2.373    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\printing\printer.py:293(_print)
  3128324    1.630    0.000    2.368    0.000 <frozen importlib._bootstrap>:389(parent)
   994565    1.276    0.000    2.333    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:291(from_man_exp)
   214881    0.328    0.000    2.325    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:2157(__add__)
4314666/4253144    1.747    0.000    2.312    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\expr.py:125(__hash__)
   204032    0.267    0.000    2.303    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:699(_eval_subs)
   957305    0.553    0.000    2.136    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:330(from_int)
   159300    0.219    0.000    2.103    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:491(from_rational)
    31043    0.030    0.000    2.048    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\assumptions.py:436(copy)
    31043    0.103    0.000    2.019    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\assumptions.py:424(__init__)
   319680    1.341    0.000    1.812    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:1290(str_to_man_exp)
   393763    0.208    0.000    1.801    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1413(__ne__)
    12000    0.368    0.000    1.784    0.000 {method 'multivariate_normal' of 'numpy.random.mtrand.RandomState' objects}
  4904794    1.318    0.000    1.739    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\facts.py:533(<genexpr>)
   134284    0.319    0.000    1.720    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1291(__add__)
   142642    0.188    0.000    1.714    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1697(__add__)
    64000    0.249    0.000    1.693    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1416(_Frel)
  2653750    1.573    0.000    1.618    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:1997(__init__)
   519680    0.814    0.000    1.612    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\sympify.py:58(_is_numpy_instance)
    32000    0.530    0.000    1.452    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:555(symbols)
   319680    0.250    0.000    1.393    0.000 <__array_function__ internals>:2(reshape)
   204444    0.296    0.000    1.388    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1288(__neg__)
  1176546    0.915    0.000    1.372    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:113(__new__)
   718394    0.761    0.000    1.325    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:321(assumptions0)
    32000    0.034    0.000    1.313    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1454(__ge__)
   256320    0.634    0.000    1.284    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:207(_decimal_to_Rational_prec)
   539701    1.278    0.000    1.278    0.000 {built-in method numpy.array}
   168000    0.348    0.000    1.162    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:410(from_float)
   256320    0.545    0.000    1.098    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\printing\printer.py:257(__init__)
  1649401    1.090    0.000    1.090    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:153(_normalize)
   319680    0.287    0.000    1.003    0.000 <__array_function__ internals>:2(size)
   613465    0.413    0.000    0.943    0.000 {built-in method builtins.any}
   350325    0.249    0.000    0.902    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:2074(_as_mpf_val)
   319680    0.253    0.000    0.893    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:199(reshape)
  4156342    0.869    0.000    0.869    0.000 {built-in method builtins.hasattr}
   159300    0.406    0.000    0.852    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:950(mpf_div)
    12000    0.015    0.000    0.847    0.000 <__array_function__ internals>:2(allclose)
    12000    0.021    0.000    0.820    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\numeric.py:2121(allclose)
  5055226    0.782    0.000    0.782    0.000 {method 'get' of 'dict' objects}
    62365    0.144    0.000    0.767    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1305(__mul__)
  3128324    0.738    0.000    0.738    0.000 {method 'rpartition' of 'str' objects}
   173935    0.725    0.000    0.725    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:1597(_eval_subs)
   343681    0.185    0.000    0.717    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\_asarray.py:14(asarray)
    12000    0.012    0.000    0.710    0.000 <__array_function__ internals>:2(isclose)
   424320    0.401    0.000    0.703    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:64(dps_to_prec)
    12000    0.084    0.000    0.683    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\numeric.py:2197(isclose)
    24000    0.067    0.000    0.670    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\matrixlib\defmatrix.py:115(__new__)
    31124    0.050    0.000    0.656    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:2198(__mul__)
   327680    0.249    0.000    0.654    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
   705481    0.320    0.000    0.643    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libintmath.py:91(python_bitcount)
   319680    0.556    0.000    0.626    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\getlimits.py:366(__new__)
   264000    0.161    0.000    0.618    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\expr.py:202(__add__)
   116000    0.202    0.000    0.603    0.000 {method 'astype' of 'numpy.ndarray' objects}
    16000    0.021    0.000    0.586    0.000 <__array_function__ internals>:2(svd)
   152000    0.168    0.000    0.565    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:261(__new__)
  3395807    0.554    0.000    0.554    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\core.py:71(<lambda>)
    31063    0.049    0.000    0.552    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1736(__mul__)
  1432866    0.535    0.000    0.546    0.000 {built-in method __new__ of type object at 0x58678518}
    16000    0.345    0.000    0.542    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:1483(svd)
  1207360    0.467    0.000    0.467    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\sympify.py:64(<genexpr>)
    32000    0.030    0.000    0.462    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1470(__le__)
   256320    0.179    0.000    0.449    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:223(_literal_float)
   256320    0.231    0.000    0.443    0.000 {method 'as_tuple' of 'decimal.Decimal' objects}
   718394    0.443    0.000    0.443    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:323(<dictcomp>)
    93705    0.289    0.000    0.443    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:1792(_exec_constructor_postprocessors)
    80000    0.062    0.000    0.441    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:715(__add__)
    94005    0.090    0.000    0.433    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:670(_as_mpf_op)
1173834/1143073    0.334    0.000    0.432    0.000 {built-in method builtins.hash}
   140724    0.226    0.000    0.426    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:702(mpf_add)
  1148591    0.414    0.000    0.414    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\facts.py:482(_tell)
   256320    0.282    0.000    0.400    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\printing\printer.py:249(_get_initial_settings)
    24000    0.398    0.000    0.398    0.000 {built-in method _warnings.warn}
  2653750    0.394    0.000    0.394    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:2048(__iter__)
   359684    0.394    0.000    0.394    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  1453801    0.389    0.000    0.389    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:712(args)
   361138    0.388    0.000    0.388    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:208(_normalize1)
    80000    0.083    0.000    0.387    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:674(__float__)
  1133612    0.378    0.000    0.380    0.000 {built-in method builtins.max}
  2769077    0.379    0.000    0.379    0.000 {built-in method builtins.len}
    20000    0.132    0.000    0.368    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Functions.py:16(ErrorBars)
     4000    0.005    0.000    0.353    0.000 <__array_function__ internals>:2(pinv)
  2141447    0.340    0.000    0.341    0.000 {method 'items' of 'dict' objects}
     4000    0.101    0.000    0.340    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:1916(pinv)
   705481    0.322    0.000    0.322    0.000 {built-in method _bisect.bisect_right}
   152000    0.214    0.000    0.318    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:229(_sanitize)
    12000    0.124    0.000    0.317    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\numeric.py:2274(within_tol)
    36000    0.030    0.000    0.303    0.000 <__array_function__ internals>:2(all)
    32000    0.031    0.000    0.271    0.000 <__array_function__ internals>:2(iscomplex)
   718394    0.271    0.000    0.271    0.000 {built-in method builtins.sorted}
   256320    0.270    0.000    0.270    0.000 {method 'match' of 're.Pattern' objects}
    44023    0.083    0.000    0.269    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
    36000    0.037    0.000    0.243    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2337(all)
   798209    0.228    0.000    0.228    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1215(_hashable_content)
   823380    0.222    0.000    0.222    0.000 {method 'split' of 'str' objects}
    20005    0.020    0.000    0.217    0.000 <__array_function__ internals>:2(diag)
    80000    0.051    0.000    0.217    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1236(_as_mpf_val)
   187470    0.154    0.000    0.217    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   256320    0.124    0.000    0.212    0.000 <string>:1(__new__)
   344864    0.138    0.000    0.189    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:2282(__hash__)
   424320    0.187    0.000    0.187    0.000 {built-in method builtins.round}
   639360    0.187    0.000    0.187    0.000 {method 'startswith' of 'str' objects}
   126365    0.162    0.000    0.182    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:884(python_mpf_mul)
    20005    0.040    0.000    0.177    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\lib\twodim_base.py:214(diag)
   256320    0.131    0.000    0.175    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\printing\str.py:824(_print_Zero)
    93705    0.114    0.000    0.173    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\operations.py:94(_from_args)
   959040    0.170    0.000    0.170    0.000 {method 'lower' of 'str' objects}
